Date,Open,High,Low,Close,Adj Close,Volume
1999-08-01,1328.719971,1382.839966,1267.729980,1320.410034,1320.410034,15818550000
1999-09-01,1320.410034,1361.390015,1256.260010,1282.709961,1282.709961,16438700000
1999-10-01,1282.709961,1373.170044,1233.699951,1362.930054,1362.930054,18832000000
1999-11-01,1362.930054,1425.310059,1346.410034,1388.910034,1388.910034,18384820000
1999-12-01,1388.910034,1473.099976,1387.380005,1469.250000,1469.250000,19640690000
2000-01-01,1469.250000,1478.000000,1350.140015,1394.459961,1394.459961,21494400000
2000-02-01,1394.459961,1444.550049,1325.069946,1366.420044,1366.420044,20912000000
2000-03-01,1366.420044,1552.869995,1346.619995,1498.579956,1498.579956,26156200000
2000-04-01,1498.579956,1527.189941,1339.400024,1452.430054,1452.430054,20106460000
2000-05-01,1452.430054,1481.510010,1361.089966,1420.599976,1420.599976,19898300000
2000-06-01,1420.599976,1488.930054,1420.599976,1454.599976,1454.599976,21738300000
2000-07-01,1454.599976,1517.319946,1413.890015,1430.829956,1430.829956,19089100000
2000-08-01,1430.829956,1525.209961,1425.430054,1517.680054,1517.680054,20363700000
2000-09-01,1517.680054,1530.089966,1419.439941,1436.510010,1436.510010,20838300000
2000-10-01,1436.520020,1454.819946,1305.790039,1429.400024,1429.400024,25951400000
2000-11-01,1429.400024,1438.459961,1294.900024,1314.949951,1314.949951,20532300000
2000-12-01,1314.949951,1389.050049,1254.069946,1320.280029,1320.280029,23610800000
2001-01-01,1320.280029,1383.369995,1274.619995,1366.010010,1366.010010,27829800000
2001-02-01,1366.010010,1376.380005,1215.439941,1239.939941,1239.939941,21644400000
2001-03-01,1239.939941,1267.420044,1081.189941,1160.329956,1160.329956,27806610000
2001-04-01,1160.329956,1269.300049,1091.989990,1249.459961,1249.459961,25409990000
2001-05-01,1249.459961,1315.930054,1232.000000,1255.819946,1255.819946,24525900000
2001-06-01,1255.819946,1286.619995,1203.030029,1224.380005,1224.380005,24748030000
2001-07-01,1224.420044,1239.780029,1165.540039,1211.229980,1211.229980,23793710000
2001-08-01,1211.229980,1226.270020,1124.869995,1133.579956,1133.579956,23359200000
2001-09-01,1133.579956,1155.400024,944.750000,1040.939941,1040.939941,25025290000
2001-10-01,1040.939941,1110.609985,1026.760010,1059.780029,1059.780029,29951280000
2001-11-01,1059.780029,1163.380005,1054.310059,1139.449951,1139.449951,26330000000
2001-12-01,1139.449951,1173.619995,1114.530029,1148.079956,1148.079956,25128570000
2002-01-01,1148.079956,1176.969971,1081.660034,1130.199951,1130.199951,29746200000
2002-02-01,1130.199951,1130.199951,1074.359985,1106.729980,1106.729980,26047600000
