Date,Open,High,Low,Close,Adj Close,Volume
2000-07-17,11002.599609,11063.900391,10747.099609,10879.599609,10879.588867,0
2000-07-24,10879.599609,10924.400391,10526.799805,10560.000000,10559.989258,33216800
2000-07-31,10560.000000,10656.099609,10375.000000,10583.400391,10583.389648,35015400
2000-08-07,10585.900391,11150.000000,10585.900391,11094.599609,11094.587891,35430900
2000-08-14,11100.900391,11364.299805,11056.500000,11065.500000,11065.489258,33495600
2000-08-21,11065.500000,11137.799805,10695.599609,10818.299805,10818.289063,36354800
2000-08-28,10845.799805,11191.000000,10753.099609,11170.099609,11170.087891,32757300
2000-09-04,11170.099609,11322.299805,11094.400391,11103.299805,11103.288086,35367900
2000-09-11,11103.299805,11510.200195,11071.099609,11463.099609,11463.087891,42440300
2000-09-18,11373.000000,11373.000000,10629.599609,11029.400391,11029.389648,40466500
2000-09-25,11057.599609,11192.200195,10890.799805,10950.000000,10949.989258,34628400
2000-10-02,10950.000000,11304.599609,10909.299805,11150.000000,11149.988281,32996800
2000-10-09,11112.200195,11112.200195,10242.900391,10385.400391,10385.389648,38080100
2000-10-16,10414.500000,10654.599609,9826.599609,10443.599609,10443.588867,53795800
2000-10-23,10443.599609,10666.900391,10291.000000,10395.700195,10395.689453,47735400
2000-10-30,10395.700195,10615.700195,10296.200195,10542.700195,10542.689453,39685300
2000-11-06,10557.200195,10673.900391,9986.000000,9986.000000,9985.990234,40147200
2000-11-13,9986.000000,10340.700195,9791.900391,9845.900391,9845.890625,48706800
2000-11-20,9845.900391,9941.900391,9179.599609,9642.299805,9642.290039,55605400
2000-11-27,9642.299805,9797.000000,9208.799805,9339.400391,9339.390625,44174100
2000-12-04,9339.400391,9621.299805,9009.500000,9497.299805,9497.290039,27713000
2000-12-11,9646.900391,9902.000000,9155.700195,9155.700195,9155.691406,60784600
2000-12-18,9155.700195,9333.900391,8756.400391,9039.000000,9038.991211,47194500
2000-12-25,9039.000000,9180.599609,8973.000000,9109.799805,9109.791016,0
2001-01-01,9109.799805,9713.799805,8946.200195,9601.400391,9601.390625,12372200
2001-01-08,9601.400391,9906.099609,9468.700195,9890.200195,9890.190430,48635400
2001-01-15,9890.200195,10219.500000,9722.400391,9955.500000,9955.490234,64790200
2001-01-22,9955.500000,10205.500000,9892.099609,10090.099609,10090.089844,47475500
2001-01-29,10090.099609,10168.299805,9845.099609,9848.500000,9848.490234,45918200
2001-02-05,9848.500000,10056.400391,9754.599609,9936.299805,9936.290039,35518700
2001-02-12,9936.299805,10125.599609,9670.000000,9789.500000,9789.490234,47849200
2001-02-19,9789.500000,9923.700195,9231.599609,9344.799805,9344.790039,48275000
2001-02-26,9362.799805,9687.900391,9362.799805,9570.900391,9570.890625,47073200
2001-03-05,9593.200195,9963.000000,9593.200195,9726.599609,9726.589844,42251300
2001-03-12,9678.900391,9678.900391,9173.900391,9290.000000,9289.990234,50107000
2001-03-19,9290.000000,9393.299805,8531.799805,8810.500000,8810.491211,57715300
2001-03-26,8849.799805,9352.400391,8849.799805,9308.299805,9308.290039,47153800
2001-04-02,9308.299805,9482.099609,8784.799805,9328.400391,9328.390625,56866600
2001-04-09,9328.400391,9684.799805,9251.099609,9648.799805,9648.790039,29892000
2001-04-16,9573.000000,9904.000000,9417.200195,9547.500000,9547.490234,38851500
2001-04-23,9530.200195,9708.599609,9235.099609,9634.599609,9634.589844,49134500
2001-04-30,9634.599609,9833.099609,9399.200195,9542.700195,9542.690430,31846200
2001-05-07,9558.200195,9854.599609,9497.599609,9684.500000,9684.490234,38236300
2001-05-14,9684.500000,9755.599609,9473.400391,9728.400391,9728.390625,44369800
2001-05-21,9728.400391,9747.099609,9422.200195,9468.400391,9468.390625,36388400
2001-05-28,9468.400391,9581.299805,9370.599609,9399.400391,9399.390625,34115800
2001-06-04,9441.799805,9663.900391,9441.799805,9607.299805,9607.290039,33686300
